29,113,,,
24,93,,,
26,65,,,
5,63,,,
2,42,,,x
25,40,,,
15,38,,,
4,37,,x,x
1,36,,x,x
22,34,,,
12,33,,,x
16,31,,x,x
23,30,,,
21,26,,,
20,23,,x,x
3,22,,x,x
14,21,,x,x
19,18,,x,x
17,16,,x,
28,16,,,x
11,14,,x,x
13,8,,,x
18,7,,x,x
7,6,,x,
10,5,,x,x
27,5,,,
6,4,,x,x
9,2,,x,x
8,1,,x,x
